Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price
Picanto,2015,Saudi,Another Color,Standard,1.0,Gas,Automatic,133000,Al-Medina,18500
Power,2021,Saudi,White,Full,2.0,Gas,Automatic,4000,Al-Medina,95000
Datsun,2015,Saudi,White,Full,2.411111111111111,Gas,Manual,212000,Riyadh,42000
F-Pace,2018,Saudi,White,Full,2.5,Gas,Automatic,70000,Jeddah,145000
Hilux,2016,Saudi,White,Full,2.7,Gas,Manual,28000,Dammam,95000
Furniture,2019,Saudi,White,Standard,2.7,Gas,Automatic,113000,Riyadh,105000
Expedition,2016,Saudi,White,Full,3.5,Gas,Automatic,104000,Dammam,95000
Accord,2019,Gulf Arabic,Silver,Full,1.5,Gas,Automatic,8200,Dammam,107000
Suburban,2001,Other,Grey,Semi Full,3.8,Gas,Automatic,500000,Riyadh,15000
Explorer,2016,Gulf Arabic,Red,Full,3.533333333333333,Gas,Automatic,93000,Riyadh,95000
LX,2020,Gulf Arabic,Black,Full,5.7,Gas,Automatic,27000,Riyadh,418000
Elantra,2019,Saudi,White,Standard,1.6,Gas,Automatic,120496,Riyadh,40800
Elantra,2019,Saudi,Silver,Standard,1.6,Gas,Automatic,120244,Riyadh,43000
Accent,2014,Saudi,Black,Standard,1.4,Gas,Automatic,101231,Riyadh,21500
Sunny,2017,Saudi,White,Standard,1.5,Gas,Automatic,106646,Riyadh,22500
Range Rover,2009,Saudi,Black,Full,2.4,Gas,Automatic,195000,Jeddah,45000
Elantra,2018,Saudi,Brown,Semi Full,1.6,Gas,Automatic,81000,Riyadh,44000
Sonata,2018,Saudi,Silver,Semi Full,2.4,Gas,Automatic,99000,Riyadh,62000
Charger,2016,Saudi,Grey,Standard,1.0,Gas,Automatic,151000,Riyadh,69000
Cadenza,2018,Saudi,Brown,Standard,1.0,Gas,Automatic,74000,Riyadh,60000
Furniture,2019,Saudi,White,Full,3.5,Gas,Automatic,40000,Riyadh,120000
Accent,2018,Saudi,White,Standard,1.4,Gas,Automatic,78000,Riyadh,36000
Sonata,2013,Saudi,White,Full,2.4,Gas,Automatic,205000,Riyadh,40000
FJ,2013,Saudi,Bronze,Full,1.0,Gas,Automatic,296000,Riyadh,79000
Cadenza,2017,Saudi,Grey,Full,3.5,Gas,Automatic,179000,Riyadh,73000
Elantra,2018,Saudi,White,Semi Full,2.0,Gas,Automatic,88000,Riyadh,44000
Elantra,2018,Saudi,Grey,Semi Full,1.6,Gas,Automatic,96000,Riyadh,47000
G80,2019,Saudi,Silver,Semi Full,3.8,Gas,Automatic,66000,Riyadh,120000
Sonata,2014,Saudi,White,Semi Full,2.4,Gas,Automatic,216000,Riyadh,41000
Camry,2016,Saudi,White,Full,1.0,Gas,Automatic,244000,Riyadh,59000
Royal,2016,Saudi,White,Full,3.8,Gas,Automatic,55000,Riyadh,95000
FJ,2015,Saudi,White,Full,1.0,Gas,Automatic,190000,Riyadh,98000
Senta fe,2018,Saudi,White,Standard,3.3,Gas,Automatic,41542,Riyadh,69000
Optima,2017,Saudi,Black,Semi Full,2.4,Gas,Automatic,245000,Riyadh,45000
Royal,2018,Saudi,Grey,Full,3.8,Gas,Automatic,78000,Riyadh,110000
Cadenza,2015,Saudi,Grey,Standard,3.5,Gas,Automatic,180000,Riyadh,57000
GS8,2020,Saudi,Blue,Full,2.0,Gas,Automatic,29200,Jeddah,80000
Furniture,2017,Saudi,White,Semi Full,3.1333333333333333,Gas,Automatic,400000,Riyadh,60000
Sunny,2018,Saudi,White,Standard,1.5,Gas,Automatic,108708,Riyadh,24000
Sunny,2018,Saudi,Silver,Standard,1.5,Gas,Automatic,124758,Riyadh,24000
Sunny,2017,Saudi,Black,Standard,1.5,Gas,Automatic,158218,Riyadh,24500
Cadenza,2017,Saudi,Silver,Standard,3.3,Gas,Automatic,83000,Riyadh,50000
Maxima,2017,Saudi,Grey,Full,1.0,Gas,Automatic,860000,Riyadh,77000
Azera,2018,Saudi,Brown,Semi Full,3.5,Gas,Automatic,79000,Riyadh,75000
G80,2018,Saudi,White,Semi Full,3.8,Gas,Automatic,97000,Riyadh,98000
Cadenza,2016,Saudi,White,Standard,3.3,Gas,Automatic,122000,Riyadh,50000
Azera,2017,Saudi,White,Full,3.0,Gas,Automatic,168000,Riyadh,55000
Maxima,2017,Saudi,Brown,Semi Full,1.0,Gas,Automatic,121000,Riyadh,64000
Land Cruiser,2015,Saudi,White,Full,1.0,Gas,Automatic,300000,Riyadh,135000
Caprice,2015,Saudi,Black,Standard,6.0,Gas,Automatic,264000,Riyadh,69000
Challenger,2017,Other,White,Full,3.6,Gas,Automatic,113000,Dammam,99000
Accord,2018,Gulf Arabic,Golden,Full,2.4,Gas,Automatic,75000,Dammam,92000
ES,2016,Other,Bronze,Semi Full,3.5,Gas,Automatic,88000,Dammam,115000
Datsun,2015,Saudi,White,Semi Full,2.0,Gas,Manual,182000,Dammam,29000
Camaro,2016,Other,Red,Full,3.6,Gas,Automatic,94000,Dammam,106000
G80,2020,Saudi,Grey,Semi Full,3.8,Gas,Automatic,11000,Riyadh,125000
Taurus,2018,Other,Black,Full,3.54,Gas,Automatic,100000,Dammam,89000
Taurus,2015,Other,Black,Semi Full,3.711111111111111,Gas,Automatic,103000,Dammam,78000
Tucson,2019,Saudi,White,Semi Full,1.0,Gas,Automatic,67000,Riyadh,75000
Cadenza,2018,Saudi,Silver,Standard,3.3,Gas,Automatic,94000,Riyadh,55000
Elantra,2019,Saudi,Grey,Standard,2.0,Gas,Automatic,95000,Riyadh,52000
Accent,2017,Saudi,Grey,Semi Full,1.4,Gas,Automatic,147000,Riyadh,29000
Royal,2016,Saudi,White,Full,3.8,Gas,Automatic,140000,Riyadh,88000
Yukon,2016,Saudi,Bronze,Full,6.2,Gas,Automatic,152000,Riyadh,122000
Land Cruiser,2018,Gulf Arabic,Black,Full,5.7,Gas,Automatic,61312,Riyadh,270000
Sunny,2017,Saudi,Grey,Standard,1.5,Gas,Automatic,152973,Riyadh,24500
Symbol,2020,Saudi,White,Standard,1.6,Gas,Automatic,46505,Riyadh,26000
Fluence,2015,Saudi,Grey,Semi Full,1.6,Gas,Automatic,116633,Riyadh,25500
Sunny,2018,Saudi,White,Standard,1.5,Gas,Automatic,90418,Riyadh,25500
6,2019,Saudi,Brown,Standard,2.5,Gas,Automatic,129000,Riyadh,65000
Elantra,2014,Saudi,Grey,Full,2.0,Gas,Automatic,119000,Riyadh,33000
Accord,2017,Saudi,White,Semi Full,2.5,Gas,Automatic,173000,Riyadh,68000
RX5,2018,Saudi,White,Full,3.0,Gas,Automatic,109000,Riyadh,49000
Land Cruiser,2012,Saudi,Grey,Full,1.0,Gas,Automatic,448000,Riyadh,109000
Taurus,2016,Saudi,Another Color,Standard,3.5,Gas,Automatic,136000,Riyadh,58000
G80,2018,Saudi,Another Color,Semi Full,3.8,Gas,Automatic,97000,Riyadh,98000
FJ,2015,Saudi,White,Full,4.0,Gas,Automatic,259880,Riyadh,89000
Cadenza,2019,Saudi,Brown,Standard,3.3,Gas,Automatic,73000,Riyadh,65000
Yukon,2011,Saudi,Silver,Semi Full,1.0,Gas,Automatic,600000,Riyadh,36000
Kona,2019,Saudi,Grey,Full,1.0,Gas,Automatic,22000,Riyadh,77000
Avalon,2016,Other,White,Semi Full,3.5,Gas,Automatic,123000,Riyadh,93000
Charger,2018,Saudi,Red,Standard,3.6,Gas,Automatic,79000,Riyadh,79000
Senta fe,2016,Saudi,Brown,Semi Full,3.3,Gas,Automatic,126000,Riyadh,63000
FJ,2013,Saudi,Bronze,Semi Full,1.0,Gas,Automatic,154000,Riyadh,77000
C300,2017,Saudi,Grey,Full,5.7,Gas,Automatic,130000,Riyadh,88000
Optima,2018,Saudi,Grey,Standard,2.4,Gas,Automatic,40000,Riyadh,55000
Azera,2016,Saudi,White,Semi Full,3.0,Gas,Automatic,130000,Riyadh,50000
APV,2016,Saudi,Black,Standard,1.5,Gas,Manual,110000,Riyadh,29500
Accord,2016,Saudi,Brown,Full,1.0,Gas,Automatic,116000,Riyadh,62000
3008,2018,Saudi,Brown,Full,1.0,Gas,Automatic,30000,Riyadh,79000
Cadenza,2016,Saudi,White,Standard,3.3,Gas,Automatic,145000,Riyadh,63000
Cerato,2019,Saudi,White,Standard,1.6,Gas,Automatic,43629,Jeddah,43500
Sunny,2018,Saudi,Silver,Standard,1.5,Gas,Automatic,106036,Riyadh,25900
Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,104688,Riyadh,26000
Sunny,2019,Saudi,Grey,Standard,1.5,Gas,Automatic,86754,Riyadh,26000
Sunny,2019,Saudi,Silver,Standard,1.5,Gas,Automatic,105509,Riyadh,26000
Traverse,2017,Saudi,Silver,Semi Full,2.4,Gas,Automatic,110000,Riyadh,49000
Accord,2017,Saudi,White,Standard,1.0,Gas,Automatic,63000,Riyadh,88000
G80,2017,Saudi,Grey,Semi Full,3.8,Gas,Automatic,183000,Riyadh,85000
Accord,2012,Saudi,White,Standard,1.0,Gas,Automatic,251000,Riyadh,38000
Sonata,2018,Saudi,Red,Standard,2.5,Gas,Automatic,63000,Riyadh,58000
Optima,2016,Saudi,Black,Semi Full,2.4,Gas,Automatic,91000,Riyadh,45000
Sonata,2018,Saudi,Brown,Standard,1.0,Gas,Automatic,130000,Riyadh,50000
Accord,2017,Saudi,Grey,Semi Full,1.0,Gas,Automatic,126000,Riyadh,75000
S,2007,Saudi,Black,Full,3.5,Gas,Automatic,243000,Riyadh,45000
