Type,Year,Origin,Color,Options,Engine_Size,Fuel_Type,Gear_Type,Mileage,Region,Price
ES,2008,Saudi,White,Full,3.5,Gas,Automatic,390000,Dammam,36000
E,2019,Other,White,Standard,2.0,Diesel,Automatic,28000,Riyadh,185000
S,2021,Gulf Arabic,Black,Full,3.0,Gas,Automatic,2500,Dammam,748000
C300,2018,Saudi,Black,Full,5.7,Gas,Automatic,34000,Riyadh,80000
Sonata,2016,Other,Black,Full,2.0,Diesel,Automatic,86234,Qassim,60000
Optima,2015,Saudi,Black,Standard,2.0,Gas,Automatic,72000,Jeddah,43000
Picanto,2015,Saudi,Grey,Standard,1.0,Gas,Automatic,142000,Al-Medina,18500
Boxer,2016,Saudi,White,Standard,2.8,Diesel,Manual,195000,Riyadh,52000
S,2018,Saudi,Brown,Semi Full,5.0,Gas,Automatic,30000,Dammam,335000
Sorento,2016,Gulf Arabic,White,Semi Full,3.0,Gas,Automatic,51000,Qassim,62000
LX,2020,Gulf Arabic,Black,Full,5.7,Gas,Automatic,38000,Dammam,450000
Land Cruiser,2021,Saudi,White,Full,4.6,Gas,Automatic,6711,Riyadh,290000
Carnival,2016,Saudi,Black,Full,3.3,Gas,Automatic,120000,Riyadh,70000
Sportage,2016,Other,Brown,Semi Full,1.7,Diesel,Automatic,90000,Qassim,59000
Camargue,1990,Saudi,Another Color,Full,6.7,Gas,Automatic,5000,Dammam,500000
IS,2016,Other,White,Full,3.0,Gas,Automatic,96000,Dammam,108000
H6,2020,Saudi,Blue,Full,1.5,Gas,Automatic,9000,Riyadh,70000
Range Rover,2015,Saudi,Another Color,Full,3.0,Gas,Automatic,71500,Riyadh,265000
Suburban,2016,Saudi,Bronze,Full,5.3,Gas,Automatic,240000,Riyadh,110000
Tahoe,2018,Saudi,Grey,Standard,5.3,Gas,Automatic,90000,Dammam,128000
Rush,2019,Saudi,Another Color,Full,1.5,Gas,Automatic,40000,Jeddah,57000
Elantra,2009,Saudi,White,Standard,1.0,Gas,Manual,4000,Riyadh,11000
Hilux,2014,Saudi,White,Standard,1.75,Gas,Manual,217000,Riyadh,37000
G,2013,Saudi,Black,Full,6.0,Gas,Automatic,32800,Dammam,375000
Camry,2017,Saudi,Silver,Standard,2.5,Gas,Automatic,303000,Dammam,46000
Cadenza,2017,Saudi,Black,Full,3.3,Gas,Automatic,88000,Riyadh,83000
Accord,2019,Gulf Arabic,White,Standard,1.5,Gas,Automatic,28000,Qassim,88000
Sonata,2017,Saudi,Black,Semi Full,2.4,Gas,Automatic,226000,Riyadh,41000
Yukon,2017,Saudi,Black,Standard,4.0,Gas,Automatic,107,Riyadh,125000
City,2017,Saudi,White,Standard,1.5,Gas,Automatic,92000,Dammam,28000
Accent,2018,Saudi,Grey,Standard,1.6,Gas,Automatic,114000,Qassim,37000
Accent,2017,Saudi,White,Standard,1.4,Gas,Automatic,71000,Dammam,27500
Hilux,2008,Saudi,White,Standard,2.7,Gas,Manual,533399,Qassim,35000
Camry,2017,Gulf Arabic,White,Full,2.5,Gas,Automatic,61811,Qassim,68000
Furniture,2020,Saudi,White,Semi Full,2.7,Gas,Automatic,25000,Dammam,110000
Accent,2019,Saudi,Blue,Standard,1.4,Gas,Automatic,7000,Dammam,42500
A8,2015,Saudi,Brown,Full,5.0,Gas,Automatic,85000,Makkah,180000
Tahoe,2007,Saudi,White,Full,5.1,Gas,Automatic,35000,Tabouk,35000
ES,2015,Saudi,Brown,Semi Full,3.5,Gas,Automatic,246398,Riyadh,85000
Furniture,2010,Saudi,Silver,Full,4.0,Gas,Manual,450000,Aseer,38000
H1,2015,Saudi,White,Standard,4.0,Gas,Automatic,144000,Riyadh,50000
VTC,2006,Saudi,Brown,Standard,4.0,Gas,Automatic,317109,Riyadh,35000
Doblo,2016,Saudi,White,Standard,1.4,Gas,Manual,28400,Riyadh,20000
Tahoe,2019,Saudi,Black,Semi Full,8.0,Gas,Automatic,132346,Aseer,140000
RX8,2021,Saudi,White,Full,2.0,Gas,Automatic,4000,Aseer,105000
Yukon,2010,Saudi,Black,Semi Full,4.5,Gas,Automatic,115000,Jazan,80000
Aveo,2017,Other,Silver,Semi Full,1.6,Gas,Automatic,118000,Riyadh,20000
Explorer,2010,Other,Another Color,Standard,6.6,Gas,Automatic,190000,Jeddah,20000
Caprice,2011,Saudi,Another Color,Semi Full,8.0,Gas,Automatic,236000,Tabouk,35000
Land Cruiser,2006,Gulf Arabic,Blue,Full,4.55,Gas,Automatic,285,Al-Baha,65000
Cerato,2016,Saudi,White,Semi Full,1.6,Gas,Automatic,159,Jeddah,33000
Sierra,2015,Saudi,Black,Full,5.3,Gas,Automatic,112000,Aseer,77000
RX,2017,Saudi,Black,Semi Full,3.5,Gas,Automatic,71000,Riyadh,130000
Land Cruiser,2014,Gulf Arabic,White,Semi Full,4.3,Gas,Automatic,270000,Riyadh,86000
G80,2016,Saudi,Blue,Standard,3.8,Gas,Automatic,140000,Makkah,84000
Senta fe,2016,Other,Navy,Semi Full,3.1444444444444444,Diesel,Automatic,50100,Riyadh,69000
Sonata,2018,Gulf Arabic,White,Full,2.2125,Gas,Automatic,130000,Makkah,1503
CS95,2020,Saudi,Black,Semi Full,2.0,Gas,Automatic,45000,Hafar Al-Batin,88000
Cruze,2013,Saudi,Brown,Standard,1.6,Gas,Automatic,181000,Makkah,10000
Prado,2013,Gulf Arabic,Golden,Semi Full,4.0,Gas,Automatic,270000,Riyadh,80000
Land Cruiser,2007,Other,White,Full,4.666666666666667,Gas,Manual,160000,Jazan,125000
E,2018,Gulf Arabic,Black,Semi Full,2.0,Gas,Automatic,250000,Jeddah,105000
Tahoe,2013,Saudi,Golden,Semi Full,5.3,Gas,Automatic,248000,Al-Ahsa,49000
Blazer,2005,Other,Blue,Full,2.0,Gas,Automatic,213000,Abha,13500
Blazer,2005,Other,Blue,Full,2.0,Gas,Automatic,213000,Abha,13500
FJ,2015,Gulf Arabic,White,Full,4.0,Gas,Automatic,200000,Aseer,88000
Cruze,2010,Saudi,White,Standard,1.8,Gas,Manual,184700,Riyadh,11000
Cayenne,2009,Saudi,Black,Full,3.6,Gas,Automatic,277000,Jeddah,42000
Mustang,2007,Saudi,Red,Full,4.6,Gas,Automatic,195,Makkah,27000
Land Cruiser,1988,Saudi,Another Color,Semi Full,4.0,Gas,Manual,195000,Najran,30000
Expedition,2014,Saudi,Grey,Semi Full,5.387499999999999,Gas,Automatic,150000,Riyadh,52000
Yukon,2018,Saudi,Another Color,Standard,5.5,Gas,Automatic,88000,Riyadh,145000
Avanza,2016,Saudi,White,Standard,1.6,Gas,Automatic,160000,Riyadh,28000
Impala,2015,Saudi,Blue,Full,3.6,Gas,Automatic,212000,Riyadh,64000
Camry,2013,Saudi,Another Color,Standard,2.5,Gas,Automatic,376580,Jazan,28000
Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,19190,Jeddah,55000
Datsun,2013,Gulf Arabic,White,Semi Full,1.6,Gas,Manual,300,Makkah,23000
Hilux,2015,Saudi,White,Full,2.7,Gas,Manual,119000,Hail,55000
Camry,2011,Saudi,Silver,Semi Full,2.4,Gas,Manual,85000,Aseer,52000
Land Cruiser,2011,Saudi,White,Full,4.6,Gas,Automatic,145000,Dammam,95000
Sentra,2018,Saudi,Silver,Semi Full,1.6,Gas,Automatic,78000,Riyadh,38000
Corolla,2017,Saudi,Golden,Semi Full,1.6,Gas,Automatic,107000,Riyadh,39000
KICKS,2020,Saudi,Grey,Semi Full,1.6,Gas,Automatic,200,Riyadh,66000
H6,2020,Saudi,Black,Semi Full,2.0,Gas,Automatic,5000,Dammam,70000
Tahoe,2009,Saudi,Black,Standard,5.7,Gas,Automatic,400,Riyadh,35000
Explorer,2015,Saudi,Navy,Full,2.0,Gas,Automatic,40000,Qassim,90000
3008,2014,Saudi,Grey,Full,1.5,Gas,Automatic,76335,Riyadh,30000
Caprice,2009,Saudi,White,Semi Full,6.0,Gas,Automatic,135000,Riyadh,32000
LS,2015,Saudi,Another Color,Full,4.6,Gas,Automatic,103000,Khobar,170000
Durango,2016,Saudi,White,Standard,3.6,Gas,Automatic,61000,Jeddah,72000
Taurus,2016,Saudi,Another Color,Semi Full,3.5,Gas,Automatic,175000,Makkah,56008
Hilux,2016,Saudi,White,Full,2.8,Gas,Automatic,97000,Jeddah,91000
6,2016,Other,Silver,Full,2.5,Gas,Automatic,199000,Tabouk,42000
Datsun,2016,Gulf Arabic,White,Semi Full,2.4499999999999997,Gas,Manual,71000,Makkah,40000
Patrol,2021,Saudi,Silver,Full,4.0,Gas,Automatic,5000,Al-Ahsa,3772
Sunny,2019,Saudi,White,Semi Full,1.5,Gas,Automatic,116000,Riyadh,30000
Prado,2014,Saudi,Another Color,Semi Full,2.7,Gas,Automatic,198000,Jeddah,76000
Tahoe,2011,Saudi,Grey,Standard,5.3,Gas,Automatic,304000,Jubail,50000
Spark,2012,Other,White,Semi Full,4.2,Gas,Manual,217912,Dammam,9500
Land Cruiser Pickup,1987,Saudi,Brown,Standard,1.0,Gas,Manual,388528,Al-Namas,20000
Navara,2015,Other,White,Full,2.5,Gas,Automatic,19000,Jeddah,38000
Taurus,2017,Other,White,Semi Full,3.5,Gas,Automatic,61000,Dammam,73000
The 3,2013,Saudi,White,Semi Full,2.0,Gas,Automatic,156000,Riyadh,45000
Furniture,2020,Saudi,White,Semi Full,4.0,Gas,Automatic,18000,Dammam,128500
E,2021,Saudi,Black,Full,2.0,Gas,Automatic,7000,Riyadh,290000
Echo Sport,2016,Saudi,Black,Standard,1.5,Gas,Automatic,217000,Riyadh,25000
Sierra,2006,Gulf Arabic,White,Semi Full,5.3,Gas,Automatic,283000,Dammam,29000
Yaris,2020,Saudi,Brown,Full,1.5,Gas,Automatic,2100,Dammam,50000
Avalanche,2007,Other,Navy,Semi Full,6.5,Gas,Automatic,700,Tabouk,23000
Ciocca,2016,Saudi,White,Full,5.7,Gas,Automatic,134000,Riyadh,90000
Sonata,2020,Saudi,Grey,Standard,2.0,Gas,Automatic,7000,Jeddah,1010
Accent,2019,Saudi,Grey,Standard,1.4,Gas,Automatic,77000,Jeddah,38000
Pajero,2015,Saudi,Brown,Standard,3.5,Gas,Automatic,264000,Khobar,38000
Camry,2019,Saudi,Brown,Standard,2.5,Gas,Automatic,47000,Riyadh,67000
Bus County,2016,Saudi,Bronze,Full,3.0,Diesel,Manual,44000,Jeddah,97000
Elantra,2020,Saudi,White,Standard,2.0,Gas,Automatic,142000,Dammam,53000
S300,2015,Other,White,Semi Full,3.6,Gas,Automatic,109000,Dammam,74000
Ranger,2011,Saudi,White,Full,2.5,Gas,Manual,168000,Riyadh,24000
S,1992,Other,Green,Full,3.0,Gas,Automatic,8400,Dammam,80000
3,2019,Saudi,Grey,Standard,2.0,Gas,Automatic,101000,Al-Medina,44000
Sierra,2016,Saudi,Red,Semi Full,5.6,Gas,Automatic,205000,Riyadh,98000
Seven,2020,Saudi,White,Standard,1.4,Gas,Automatic,41600,Riyadh,28000
Aurion,2014,Saudi,White,Standard,1.0,Gas,Automatic,245,Makkah,55000
500,2019,Saudi,Another Color,Full,1.4,Gas,Automatic,17000,Dammam,70000
Hiace,2010,Saudi,White,Standard,2.7,Gas,Manual,573000,Riyadh,37000
Accent,2017,Saudi,White,Semi Full,1.5523809523809524,Gas,Automatic,183000,Dammam,24500
ES,2021,Saudi,Silver,Standard,2.5,Gas,Automatic,13500,Jazan,172500
Taurus,2010,Saudi,Grey,Semi Full,4.4,Gas,Automatic,10000,Al-Namas,25000
X-Trail,2020,Saudi,Brown,Semi Full,2.5,Gas,Automatic,24000,Al-Medina,70000
Rio,2019,Saudi,Bronze,Standard,1.4,Gas,Automatic,72000,Dammam,36500
QX,2012,Saudi,Oily,Full,5.4,Gas,Automatic,205000,Riyadh,77000
Sunny,2019,Saudi,Brown,Standard,1.5,Gas,Automatic,42000,Dammam,34000
Expedition,2016,Saudi,White,Semi Full,2.8333333333333335,Gas,Automatic,109000,Riyadh,72000
S,2009,Saudi,Brown,Full,3.5,Gas,Automatic,174000,Riyadh,72000
Corolla,2018,Saudi,Silver,Standard,1.6,Gas,Automatic,63000,Qassim,53000
Taurus,2016,Saudi,Red,Semi Full,3.37,Gas,Automatic,118000,Dammam,65000
LX,2005,Gulf Arabic,White,Full,8.0,Gas,Automatic,500568,Riyadh,45000
Yukon,2010,Saudi,White,Semi Full,5.833333333333333,Gas,Automatic,360000,Jazan,22000
Land Cruiser,2010,Gulf Arabic,White,Full,3.05,Gas,Automatic,310000,Riyadh,81000
Expedition,2014,Gulf Arabic,White,Semi Full,5.4,Gas,Automatic,204000,Riyadh,45000
Accent,2019,Saudi,Blue,Standard,1.4,Gas,Automatic,65392,Al-Ahsa,37000
VTC,2014,Gulf Arabic,White,Standard,4.8,Gas,Manual,244000,Qassim,50000
Corolla,2012,Other,Silver,Standard,1.6,Gas,Automatic,254000,Dammam,21000
Fluence,2015,Saudi,White,Semi Full,1.6,Gas,Automatic,91000,Dammam,20000
Elantra,2015,Gulf Arabic,White,Full,2.0,Gas,Automatic,140,Riyadh,38000
Expedition,2014,Saudi,Black,Standard,5.45,Gas,Automatic,140,Riyadh,50000
Rio,2019,Saudi,Bronze,Standard,1.4,Gas,Automatic,55500,Arar,884
Sonata,2016,Gulf Arabic,Grey,Standard,2.4,Gas,Automatic,94000,Makkah,50000
Marquis,2008,Other,Silver,Full,4.6,Gas,Automatic,171000,Riyadh,27000
Cadenza,2020,Saudi,Brown,Semi Full,3.3,Gas,Automatic,17000,Yanbu,95000
Pathfinder,2002,Saudi,Grey,Semi Full,3.3,Gas,Automatic,550000,Al-Ahsa,10000
Victoria,2011,Saudi,Black,Standard,4.6,Gas,Automatic,176000,Khobar,50000
Senta fe,2019,Other,White,Full,3.5,Gas,Automatic,10000,Hafar Al-Batin,2357
Land Cruiser,1997,Gulf Arabic,White,Full,5.25,Gas,Manual,344627,Makkah,45000
Passat,2012,Saudi,Another Color,Semi Full,2.5,Gas,Automatic,216000,Jeddah,22000
S,2010,Other,Grey,Semi Full,5.5,Gas,Automatic,228000,Al-Ahsa,63000
GLE,2016,Saudi,Silver,Semi Full,3.0,Gas,Automatic,71000,Aseer,138000
H-2,2008,Saudi,Blue,Full,6.2,Gas,Automatic,208,Riyadh,96000
Traverse,2011,Other,Another Color,Standard,3.6,Gas,Automatic,320000,Riyadh,23000
Camry,2008,Saudi,White,Full,2.4,Gas,Manual,360000,Makkah,19000
Rav4,2014,Saudi,Black,Full,2.5,Gas,Automatic,155,Riyadh,55000
Patrol,2009,Saudi,White,Semi Full,1.6,Gas,Automatic,400000,Al-Namas,50000
LX,2015,Saudi,White,Full,5.366666666666667,Gas,Automatic,248,Aseer,200000
Emgrand,2019,Saudi,Blue,Semi Full,1.8,Gas,Automatic,70000,Riyadh,35000
Altima,2014,Saudi,Brown,Semi Full,2.5,Gas,Automatic,139000,Riyadh,36000
Prado,2016,Saudi,White,Semi Full,6.0,Gas,Automatic,180,Qassim,91000
LS,2016,Other,Silver,Full,4.7,Gas,Automatic,19000,Dammam,235000
Acadia,2017,Saudi,White,Semi Full,3.6,Gas,Automatic,298000,Aseer,75000
Avalon,2015,Gulf Arabic,White,Full,3.5,Gas,Automatic,100000,Riyadh,87000
Land Cruiser,2013,Gulf Arabic,White,Full,1.0,Gas,Automatic,495,Riyadh,90000
SL,2017,Saudi,Red,Full,4.7,Gas,Automatic,81000,Jeddah,265000
Avanza,2016,Saudi,Blue,Standard,1.6,Gas,Automatic,217,Jeddah,37500
Carnival,2019,Gulf Arabic,White,Semi Full,3.6,Gas,Automatic,99000,Riyadh,2141
Land Cruiser,2018,Saudi,White,Full,3.8,Gas,Automatic,60048,Jeddah,173000
Hilux,2014,Saudi,White,Full,2.7,Gas,Manual,180000,Jeddah,52000
Land Cruiser Pickup,2013,Saudi,Another Color,Full,4.0,Gas,Manual,73000,Jeddah,103000
Suburban,1999,Other,Golden,Full,3.5,Gas,Automatic,70000,Al-Medina,20000
ES,2016,Other,Grey,Full,3.5,Gas,Automatic,50000,Dammam,127000
Sonata,2011,Saudi,Grey,Semi Full,2.2,Gas,Automatic,450,Aseer,18000
6,2019,Saudi,Black,Standard,2.5,Gas,Automatic,66000,Dammam,72000
Land Cruiser 70,2011,Saudi,White,Semi Full,4.0,Gas,Manual,352500,Hail,58000
Furniture,2012,Other,White,Semi Full,2.7,Gas,Automatic,225000,Riyadh,0
C,2015,Other,White,Full,2.0,Gas,Automatic,82000,Dammam,109000
5,2021,Saudi,Black,Semi Full,1.5,Gas,Automatic,3400,Al-Baha,42000
Prado,2020,Saudi,White,Semi Full,4.0,Gas,Automatic,7000,Qassim,172000
Land Cruiser Pickup,2017,Gulf Arabic,Bronze,Standard,4.0,Gas,Manual,25471,Qassim,122000
CX9,2015,Saudi,Grey,Full,2.5,Gas,Automatic,62000,Qassim,76000
FJ,2015,Saudi,White,Full,2.7,Gas,Automatic,230000,Qassim,85000
Z,2015,Saudi,White,Full,4.0,Gas,Automatic,65555,Jeddah,95000
Sonata,2017,Saudi,White,Semi Full,2.4,Gas,Automatic,240000,Jeddah,35000
Edge,2016,Saudi,Silver,Standard,3.6,Gas,Automatic,197000,Riyadh,62000
C,2016,Other,Grey,Full,2.5,Gas,Automatic,186000,Makkah,108000
Seven,2021,Saudi,White,Standard,1.5,Gas,Automatic,11000,Riyadh,32500
Elantra,2012,Saudi,Another Color,Standard,2.0,Gas,Automatic,289000,Aseer,21000
ES,2016,Gulf Arabic,Bronze,Semi Full,2.6,Gas,Automatic,92000,Dammam,98000
Avante,2017,Other,White,Full,1.6,Diesel,Automatic,110750,Al-Ahsa,60000
Tahoe,2018,Other,Black,Full,5.3,Gas,Automatic,127000,Dammam,155000
Elantra,2015,Saudi,White,Standard,2.0,Gas,Automatic,1600074,Riyadh,27000
H1,2018,Saudi,White,Standard,2.4,Gas,Automatic,179767,Riyadh,52000
Land Cruiser,2010,Saudi,White,Full,1.5,Gas,Automatic,360000,Riyadh,83000
Explorer,2012,Saudi,Black,Standard,3.5,Gas,Automatic,336000,Dammam,35000
ES,2016,Other,White,Semi Full,3.5,Gas,Automatic,95000,Al-Ahsa,103000
Range Rover,2015,Other,Grey,Full,2.8,Gas,Automatic,102000,Al-Ahsa,158000
Fusion,2018,Other,Blue,Semi Full,1.5,Gas,Automatic,125000,Al-Ahsa,57000
6,2016,Other,Black,Semi Full,2.0,Gas,Manual,172000,Al-Ahsa,45000
Taurus,2017,Other,Black,Standard,3.5,Gas,Automatic,118000,Dammam,73000
Corolla,2017,Saudi,Grey,Standard,1.6,Gas,Automatic,28000,Riyadh,44000
Patrol,2020,Saudi,Silver,Full,4.0,Gas,Automatic,56000,Dammam,225000
Suburban,2011,Saudi,Black,Semi Full,4.7,Gas,Automatic,462000,Al-Medina,40000
Pajero,2016,Gulf Arabic,White,Full,3.8,Gas,Automatic,193000,Jeddah,58000
Datsun,2012,Saudi,White,Standard,1.0,Gas,Manual,333000,Makkah,18000
Sonata,2016,Saudi,Grey,Semi Full,2.4,Gas,Automatic,96460,Riyadh,49000
Camry,2019,Saudi,Bronze,Standard,2.5,Gas,Automatic,88000,Riyadh,70000
Elantra,2020,Gulf Arabic,White,Semi Full,2.0,Gas,Automatic,10000,Dammam,63000
Hilux,2014,Saudi,White,Semi Full,2.7,Gas,Manual,309000,Al-Medina,45000
Edge,2013,Saudi,Black,Semi Full,3.5,Gas,Automatic,217000,Al-Ahsa,32000
Furniture,2016,Saudi,White,Semi Full,2.4,Diesel,Automatic,120000,Al-Jouf,92000
Furniture,2017,Saudi,White,Semi Full,2.7,Gas,Automatic,6000,Jeddah,85000
Furniture,2017,Saudi,White,Semi Full,2.7,Gas,Automatic,12000,Jeddah,80000
Edge,2017,Saudi,White,Standard,3.5,Gas,Automatic,89000,Jeddah,68000
Sonata,2019,Saudi,Grey,Standard,2.4,Gas,Automatic,72000,Jeddah,60000
Elantra,2019,Saudi,Navy,Semi Full,2.0,Gas,Automatic,55000,Jeddah,60000
Sonata,2017,Saudi,White,Standard,2.4,Gas,Automatic,139000,Jeddah,43000
Optima,2015,Saudi,White,Full,2.0,Gas,Automatic,240000,Jeddah,33000
Datsun,2015,Saudi,White,Semi Full,2.0,Gas,Manual,130000,Jeddah,32000
S,2015,Saudi,White,Full,2.8,Gas,Automatic,180000,Jeddah,200000
Flying Spur,2011,Saudi,Navy,Full,6.0,Gas,Automatic,183000,Jeddah,100000
Hilux,2016,Saudi,White,Standard,2.7,Gas,Manual,155000,Jeddah,75000
Sierra,2016,Saudi,Black,Semi Full,5.2,Gas,Automatic,180000,Jeddah,72000
Innova,2017,Saudi,White,Full,2.7,Gas,Automatic,130000,Jeddah,67000
Sportage,2019,Saudi,Black,Standard,1.6,Gas,Automatic,46000,Jeddah,65000
Innova,2017,Saudi,White,Full,2.7,Gas,Automatic,135000,Jeddah,61000
Camry,2016,Saudi,White,Standard,2.5,Gas,Automatic,130000,Jeddah,55000
Odyssey,2015,Saudi,Another Color,Full,2.4,Gas,Automatic,100000,Jeddah,53000
Civic,2018,Saudi,Another Color,Semi Full,1.6,Gas,Automatic,61000,Jeddah,45000
Civic,2018,Saudi,White,Semi Full,1.6,Gas,Automatic,91000,Jeddah,45000
Sonata,2017,Saudi,White,Standard,2.4,Gas,Automatic,135000,Jeddah,45000
Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,100000,Jeddah,44000
Corolla,2018,Saudi,Grey,Standard,1.6,Gas,Automatic,68000,Jeddah,44000
Camry,2017,Saudi,White,Standard,2.5,Gas,Automatic,240000,Jeddah,41000
Altima,2017,Saudi,White,Standard,2.5,Gas,Automatic,88000,Jeddah,37000
Altima,2017,Saudi,White,Standard,2.5,Gas,Automatic,181000,Jeddah,37000
Cerato,2016,Saudi,White,Semi Full,1.6,Gas,Automatic,150000,Jeddah,30000
Cerato,2016,Saudi,Another Color,Semi Full,1.6,Gas,Automatic,112000,Jeddah,30000
Accent,2017,Saudi,White,Standard,1.4,Gas,Automatic,138000,Jeddah,24000
Sunny,2018,Saudi,Grey,Standard,1.5,Gas,Automatic,88000,Jeddah,24000
Sunny,2016,Saudi,White,Standard,1.5,Gas,Automatic,200000,Jeddah,20000
Sierra,2000,Gulf Arabic,White,Semi Full,1.5,Gas,Automatic,400000,Taef,10000
Prado,2015,Saudi,White,Full,1.6,Gas,Automatic,55000,Jubail,130000
Land Cruiser,2020,Saudi,White,Semi Full,4.5,Diesel,Automatic,10000,Riyadh,259000
Eado,2020,Saudi,Red,Semi Full,1.6,Gas,Automatic,91000,Dammam,43000
Taurus,2015,Other,White,Full,3.5,Gas,Automatic,121000,Dammam,82000
Eado,2020,Saudi,White,Semi Full,1.6,Gas,Automatic,64695,Riyadh,42000
Furniture,2019,Saudi,White,Full,4.0,Gas,Automatic,113000,Riyadh,105000
Accent,2011,Saudi,White,Standard,1.8,Gas,Automatic,285205,Al-Medina,14000
Grand Cherokee,2014,Saudi,Black,Semi Full,5.7,Gas,Automatic,175000,Jubail,70000
Civic,2017,Saudi,Silver,Standard,1.6,Gas,Automatic,86000,Makkah,40000
Yaris,2019,Saudi,White,Standard,1.5,Gas,Automatic,61000,Dammam,38000
C,2018,Saudi,White,Full,4.0,Gas,Automatic,33000,Dammam,330000
Range Rover,2016,Gulf Arabic,White,Full,5.0,Gas,Automatic,56500,Dammam,320000
E,2020,Saudi,White,Full,2.0,Gas,Automatic,16000,Dammam,265000
E,2018,Gulf Arabic,White,Full,3.0,Gas,Automatic,86000,Dammam,245000
Discovery,2018,Saudi,Blue,Full,2.0,Gas,Automatic,500,Dammam,240000
GLC,2020,Gulf Arabic,White,Full,2.0,Gas,Automatic,4000,Dammam,225000
IS,2020,Gulf Arabic,Grey,Full,3.0,Gas,Automatic,10000,Dammam,197000
Range Rover,2014,Saudi,White,Full,3.0,Gas,Automatic,195000,Dammam,170000
GL,2014,Saudi,White,Full,4.6,Gas,Automatic,139000,Dammam,135000
The 6,2013,Saudi,Black,Full,3.0,Gas,Automatic,108000,Dammam,120000
IS,2016,Gulf Arabic,White,Full,3.5,Gas,Automatic,89000,Dammam,128000
Sentra,2016,Saudi,White,Standard,1.6,Gas,Automatic,139000,Riyadh,36000
SEL,1990,Other,Red,Full,6.2,Gas,Automatic,79000,Dammam,115000
Corolla,2018,Saudi,White,Standard,1.6,Gas,Automatic,50000,Riyadh,53000
Accent,2019,Saudi,Brown,Standard,1.4,Gas,Automatic,91000,Riyadh,32000
F150,2019,Saudi,Brown,Semi Full,5.4,Gas,Automatic,13000,Dammam,108000
Hilux,2018,Saudi,White,Standard,2.7,Gas,Manual,194000,Riyadh,80000
Yaris,2019,Saudi,White,Standard,1.5,Gas,Automatic,36000,Al-Ahsa,43000
Durango,2014,Saudi,Grey,Semi Full,3.6,Gas,Automatic,244000,Al-Namas,52000
Optima,2015,Saudi,Navy,Semi Full,2.4,Gas,Automatic,173588,Riyadh,36500
Camry,2014,Saudi,White,Standard,2.5,Gas,Automatic,230000,Dammam,35000
Sonata,2018,Saudi,White,Standard,2.4,Gas,Automatic,48933,Riyadh,50000
Furniture,2020,Saudi,White,Semi Full,4.0,Gas,Automatic,40000,Dammam,132000
ES,2017,Gulf Arabic,Black,Full,3.5,Gas,Automatic,99000,Al-Ahsa,129000
Optima,2014,Gulf Arabic,Silver,Full,2.4,Gas,Automatic,200,Al-Medina,45000
Datsun,2015,Saudi,White,Full,2.4,Gas,Manual,147000,Jazan,45000
Avalon,2019,Saudi,Another Color,Semi Full,3.5,Gas,Automatic,60000,Tabouk,115000
Sonata,2020,Saudi,Grey,Semi Full,2.5,Gas,Automatic,47000,Riyadh,2314
Sunny,2011,Saudi,White,Standard,1.4,Gas,Manual,290,Riyadh,7000
Sonata,2018,Saudi,Another Color,Standard,2.4,Gas,Automatic,7400,Aseer,58000
Corolla,2001,Saudi,Another Color,Standard,8.1,Gas,Manual,600,Jazan,9500
CX9,2016,Saudi,Another Color,Full,3.22,Gas,Automatic,124,Qassim,57000
B50,2016,Saudi,Black,Full,1.4,Gas,Automatic,89000,Jeddah,25000
Sierra,2019,Saudi,Black,Standard,5.3,Gas,Automatic,8900,Al-Jouf,130000
Land Cruiser,1999,Saudi,Silver,Full,4.7,Gas,Manual,238,Makkah,40000
Elantra,2015,Saudi,White,Full,2.0,Gas,Automatic,245000,Aseer,30000
Senta fe,2013,Saudi,White,Semi Full,3.3,Gas,Automatic,16700,Jeddah,52000
Avalon,2021,Saudi,White,Semi Full,3.5,Gas,Automatic,6500,Riyadh,140000
Range Rover,2017,Gulf Arabic,Black,Full,4.3999999999999995,Gas,Automatic,90000,Riyadh,250000
GLE,2020,Other,Black,Full,6.9,Gas,Automatic,24000,Riyadh,330000
Avalon,2011,Saudi,Black,Full,3.5,Gas,Automatic,150000,Makkah,58000
Accent,2012,Saudi,White,Semi Full,1.6,Gas,Manual,228000,Jeddah,15000
IS,2008,Saudi,Bronze,Semi Full,2.0,Gas,Automatic,400000,Riyadh,22000
Hilux,2016,Gulf Arabic,White,Full,2.5666666666666673,Gas,Manual,220000,Riyadh,68000
Yukon,2005,Other,Silver,Full,6.0,Gas,Automatic,195000,Makkah,23000
Rav4,2018,Gulf Arabic,White,Full,2.5,Gas,Automatic,84000,Jubail,85000
Ranger,2021,Saudi,Navy,Standard,2.2,Diesel,Manual,9000,Abha,85000
Sonata,2017,Saudi,Another Color,Semi Full,2.4,Gas,Automatic,20000,Riyadh,36000
3,2015,Saudi,White,Standard,1.6,Gas,Automatic,200000,Riyadh,25000
Other,2017,Saudi,Blue,Full,1.4,Gas,Automatic,45000,Riyadh,36000
Caprice,2013,Saudi,White,Standard,6.031578947368422,Gas,Automatic,266000,Riyadh,37000
Mohave,2014,Saudi,White,Standard,3.8,Gas,Automatic,192,Dammam,39000
