,Type,Year,Color,Engine_Size,Mileage,Region,Price,Gear_Type_Encoded,Options_Full,Options_Semi Full,Options_Standard,Origin_Gulf Arabic,Origin_Other,Origin_Saudi,Fuel_Type_Diesel,Fuel_Type_Gas,Fuel_Type_Hybrid
127,0.045584045584045586,0.2017,0.2857142857142857,0.31333333333333335,0.04,0.0,0.0006000000000000001,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
128,0.002849002849002849,0.20179999999999998,0.2857142857142857,0.15,0.0108708,0.0,0.00024000000000000003,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
129,0.002849002849002849,0.20179999999999998,0.07142857142857142,0.15,0.012475799999999999,0.0,0.00024000000000000003,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
130,0.002849002849002849,0.2017,0.0,0.15,0.0158218,0.0,0.000245,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
131,0.07692307692307693,0.2017,0.07142857142857142,0.32999999999999996,0.0083,0.0,0.0005,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
132,0.1623931623931624,0.2017,0.14285714285714285,0.1,0.086,0.0,0.0007700000000000001,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
133,0.09686609686609686,0.20179999999999998,0.5714285714285714,0.35,0.0079,0.0,0.00075,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
134,0.08547008547008547,0.20179999999999998,0.2857142857142857,0.38,0.0097,0.0,0.00098,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
135,0.07692307692307693,0.2016,0.2857142857142857,0.32999999999999996,0.0122,0.0,0.0005,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
136,0.09686609686609686,0.2017,0.2857142857142857,0.3,0.0168,0.0,0.0005499999999999999,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
137,0.1623931623931624,0.2017,0.5714285714285714,0.1,0.0121,0.0,0.00064,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
138,0.011396011396011397,0.2015,0.2857142857142857,0.1,0.03,0.0,0.00135,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
139,0.16524216524216523,0.2015,0.0,0.6,0.0264,0.0,0.0006900000000000001,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
140,0.16809116809116809,0.2017,0.2857142857142857,0.36,0.011300000000000001,0.07692307692307693,0.00099,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
141,0.008547008547008548,0.20179999999999998,0.5,0.24,0.0075,0.07692307692307693,0.00092,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
